AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage

"24718","3","C1, C2, C22","47µF","KON 47µF 6,3V  X5R SMD 20%","2012 (0805)","47u","CAPC2012X135N","02","Default","","SMT","Yes","X5R","20%","","6.3V"
"24719","4","C3, C5, C15, C21","4.7µF","KON 4.7µF 6.3V X5R SMD 20%","1005 (0402)","4.7u","CAPC1005X60N","02","Default","","SMT","Yes","X5R","20%","","6.3"
"24921","23","C4, C6, C7, C8, C9, C10, C11, C12, C13, C14, C17, C18, C20, C25, C26, C27, C28, C29, C30, C32, C33, C34, C35","470nF","KON 470nF X5R 6.3V SMD 20%","0603 (0201)","470n","CAPC0603X33N","02","Default","","SMT","Yes","X5R","20%","","6.3V"
"25341","5","C16, C19, C23, C24, C31","10µF","KON 10µF 16V X5R SMD 20%","1608 (0603)","10u","CAPC1608X90N","02","Default","","SMT","Yes","X5R","20%","","16V"
"22472","1","C36","100nF","KON 100nF 25V X5R SMD","1005 (0402)","100n","CAPC1005X55N","02","Default","","SMT","Yes","X7R","","","25V"
"24682","1","D1","PD3S230H","PD3S230H","PowerDI323","","PowerDI323","02","Default","","SMT","","","","",""
"26741","1","D2","LED, RGB, 3528 PLCC","LED, RGB, 3528 PLCC","1411 (3528) PLCC","","PLCC150P360X280X190-4N-WE","02","Default","","SMT","","","","",""
"26726","3","D3, D4, D5","CDBQR0230L","CDBQR0230L","SOD-923F (0402)","30V","DIOC1006X55N","02","Default","","SMT","","","","","0.2A"
"24211","1","D6","LED Green SML-P11MTT86","LED Grün SML-P11MTT86 SMD","1005 (0402)","","LEDC1006X25N_GREEN","02","Default","","SMT","Yes","","","",""
"26322","1","J2","microSD Memory Card Connector with Detec","microSD Memory Card Connector with Detect Switch","microSD","","104031-0811","02","Default","Yes","SMT","","","","",""
"25215","1","J8","PMod 2x6 Socket 90°","PMod 2x6 Socket 90°","","","PMod2x6","02","Default","Yes","THT","","","","23185",""
"23760","1","J9","Micro USB B Buche","STE USB MICRO B Buchse SMD","","","Micro USB B SMD W+P","02","Default","Yes","SMT","","","","",""
"22742","1","J10","SMD-254-9132-14-6","Stiftleiste gerade 2-reihig, 6pol. SMD","","","SMD-254-9132-14-6","02","Default","Yes","SMT","","","","",""
"25393","3","L1, L2, L3","BKP0603HS121-T","Ferritdurchführung SMD 0201","0603 (0201)","","INDC0603X33N","02","Default","Yes","SMT","Yes","","25%","",""
"22905","6","PM1, PM2, PM3, PM4, PM5, PM6","FIDU-DOT - small","FIDU-DOT - SMALL","","","FIDU-DOT - small","02","Default","","FIDU","","","","",""
"22598","17","R1, R2, R3, R5, R6, R7, R11, R12, R14, R18, R19, R21, R23, R24, R25, R26, R27","12K","WID SMD 12K 1% 0,063W","1005 (0402)","12K","RESC1005X40N","02","Default","","SMT","Yes","","","",""
"25021","3","R4, R16, R17","33R","WID SMD 33R 1% 0,05W","0603 (0201)","33","RESC0603X26N","02","Default","","SMT","Yes","","1%","",""
"23661","4","R8, R9, R10, R22","240R","WID SMD 240R 1% 0,063W","1005 (0402)","240","RESC1005X40N","02","Default","","SMT","Yes","","1%","",""
"23730","2","R13, R15","2K61","WID SMD 2K61 1% 0,063W","1005 (0402)","2.61K","RESC1005X40N","02","Default","","SMT","Yes","","1%","",""
"22507","1","R20","100R","WID SMD 100R 1% 0,063W","1005 (0402)","100","RESC1005X40N","02","Default","","SMT","Yes","","1%","",""
"26229","1","S1","KMS221GLFS","KMS221GLFS - SWITCH, SPST, 0.05A, 32VDC, SMD","","","KMS2xxGLFS","02","Default","","SMT","","","","",""
"23417","1","S2","CHS-04TA","DIP Schalter 4 fach 1,27mm SMD","","","CHS-04TA","02","Default","Yes","SMT","Yes","","","",""
"25492","2","U1, U20","EN5311QI","EN5311QI","QFN20","","EN5311QI","02","Default","Yes","SMT","Yes","","","",""
"24727","1","U2","FT2232HQ","FT2232HQ","QFN64","","QFN50P900X900X100-65N-445","02","Default","Yes","SMT","Yes","","","",""
"24840","1","U3","PRTR5V0U2X,215","PRTR5V0U2X,215","SOT143","","SOT190P229X114-4N","02","Default","","SMT","Yes","","","",""
"24730","1","U4","93AA56BT-I/OT","93AA56BT-I/OT","SOT23-6","","SOT95P280X145-6N","02","Default","Yes","SMT","Yes","","","",""
"25325","1","U5","SiT8008AI-73-XXS-12.000000E","SiT8008AI-73-XXS-12.000000E MEMS Oszillator 12MHz","2.0  x 1.6mm","12M","2016","02","Default","Yes","SMT","Yes","","","",""
"25049","1","U6","TPS3805H33DCKR","TPS3805H33DCKR","SC70-5 / SC88A / SOT353","","SOT65P210X110-5N","02","Default","Yes","SMT","Yes","","","",""
"26738","1","U9","ICE40HX1K-TQ144","ICE40HX1K-TQ144","TQ144","","QFP50P2200X2200X160-144N","02","Default","","SMT","","","","",""
"26078","1","U10","S25FL127SABMFV10","S25FL127SABMFV10 automotive SO8","SO8W","","SOIC127P790X216-8N","02","Default","","SMT","","","","",""
